X,Y,blocked,plato_block,plato_index,plato_edge
0,0.0,False,False,-1,False
3.053344000000003,0.0,False,False,-1,False
12.680000000000007,0.0,False,False,-1,False
19.36377600000001,0.0,False,False,-1,False
28.840000000000003,0.0,False,False,-1,False
38.02208576000001,0.0,False,False,-1,False
44.49840000000001,0.0,False,False,-1,False
50.0,0.0,False,False,-1,False
55.5016,0.0,False,False,-1,False
67.38945727999999,0.0,False,False,-1,False
71.16,0.0,False,False,-1,False
77.9472,0.0,False,False,-1,False
87.32,0.0,False,False,-1,False
94.6744,0.0,False,False,-1,False
100,0.0,False,False,-1,False
